ACI,EGJA,Alderney
CJJ,RKTU,Cheongju
ZVL,CZVL,Edmonton/Villeneuve (Villeneuve)
CMR,LFGA,Colmar Houssen
JMS,KJMS,Jamestown Rgnl
GAO,MUGT,Mariana Grajales
OVO,KOVO,North Vernon
CGB,SBCY,Marechal Rondon
BMJ,SYBR,Baramita
JIK,LGIK,Ikaria Island National
EKM,KEKM,Elkhart Muni
BKD,KBKD,Stephens County
LVT,VLAO,Vientiane
IGU,SBFI,Foz do Iguacu Int'l (Cataratas Int'l)
FGU,KFGU,Collegedale Muni
ELN,KELN,Bowers Field
ETR,EGTR,Elstree Airfield
LBL,KLBL,Liberal Mid-America Rgnl
ORG,KORG,Orange County
VTF,NFVL,Vatulele
SGX,HTSO,Songea
KTT,EFKT,Kittila
GMB,HAGM,Gambela
BAU,SBBU,Bauru
VFA,FVFA,Victoria Falls
DRB,YDBY,Derby
KKN,ENKR,Kirkenes\, Hoybuktmoen
AMG,KAMG,Bacon County
PDA,SKPD,Obando
WUX,ZSWX,Wuxi
KIH,OIBK,Kish
WBG,ETNS,Schleswig Air Base
BGO,ENBR,Bergen\, Flesland
ASU,SGAS,Silvio Pettirossi Int'l
AIK,KAIK,Aiken Muni
SZY,EPSY,Szczytno-Szymany Int'l
ZEM,CZEM,Eastmain River
CUT,SAZW,Cutral Co
HOR,LPHR,Horta
BTG,FEGF,Batangafo
JAG,OPJA,Jacobabad Airbase
DPE,LFAB,Dieppe
UVF,TLPL,Hewanorra Int'l
KIY,HTKI,Kilwa Masoko
HGO,DIKO,Korhogo
JON,PJON,Johnston Atoll
HMZ,KHMZ,Bedford County
PLF,FTTP,Pala
KZI,LGKZ,Kozani National\, Filippos
HVE,KHVE,Hanksville
KXF,NFNO,Koro
FRC,SIMK,Franca (was SBFC)
TGZ,MMTG,Francisco Sarabia National a.k.a. Angel Albino Corzo
TVI,KTVI,Thomasville Rgnl
CVM,MMCV,General Pedro J. Mendez Nat'l
BBG,KBBG,Branson
XLR,LFDI,Artigues-De-Lussac
DKR,GOOY,Dakar
JSA,VIJR,Jaisalmer
RTS,YRTI,Rottnest Island
EVW,KEVW,Evanston-Uinta Co 
VLN,SVVA,Arturo Michelena Int'l
SOV,PASO,Seldovia
TSV,YBTL,Townsville Int'l / RAAF
FAB,EGLF,Farnborough Airfield
RPR,VARP,Raipur
MBH,YMYB,Maryborough
TOA,KTOA,Zamperini Field
MPW,UKCM,Mariupol
TYN,ZBYN,Taiyuan Wusu
CVQ,YCAR,Carnarvon
UKR,OYMK,Mukeiras
HIJ,RJOA,Hiroshima
CEK,KCEK,Crete Muni
LOK,HKLO,Lodwar
CFK,PACK,Chefornak
XDE,DFOU,Diebougou
PGK,WIKK,Pangkal Pinang
ACO,LSZD,Ascona
AFA,SAMR,San Rafael
ENC,LFSN,Nancy Essey
PPQ,KPPQ,Pittsfield Penstone Muni
GUJ,SBGW,Guaratingueta
KKA,PAKK,Koyuk Alfred Adams
XTD,LFGY,Saint
CAT,MYCB,New Bight
LOO,DAUL,L'Mekrareg
JYM,KJYM,Hillsdale Muni
PMH,KPMH,Greater Portsmouth Rgnl
SSF,KSSF,Stinson Muni
XNT,ZBXT,Xingtai
XIC,ZUXC,Xichang Qingshan
NKL,KNKL,Holley Nolf
VPY,FQCH,Chimoio
YMH,CYMH,Mary's Harbour
JJI,SPJI,Juanjui
PNQ,VAPO,Pune / Lohegaon Air Force Base
HEA,OAHR,Herat
BPX,ZUBD,Qamdo Bangda
BGU,FEFG,Bangassou
PNI,PTPN,Pohnpei Int'l
BBO,HCMI,Berbera
KOU,FOGK,Mabimbi
FFM,KFFM,Fergus Falls Muni
CAG,LIEE,Cagliari-Elmas
DRI,KDRI,Beauregard Rgnl
PUT,VOPN,Sri Sathya Sai
LYM,EGMK,Lympne
GNG,KGNG,Gooding Muni
ZJG,CZJG,Jenpeg
RNJ,RORY,Yoron
RCK,KRCK,H H Coffield Rgnl
SVH,KSVH,Statesville Rgnl
MYB,FOOY,Mayumba
CBF,KCBF,Council Bluffs Muni
IYS,PAWS,Wasilla
FYU,PFYU,Fort Yukon
BZZ,EGVN,RAF Brize Norton
AEO,GQNA,Aioun el Atrouss
GMP,RKSS,Gimpo Int'l
PVF,KPVF,Placerville
ONO,KONO,Ontario Muni
YYG,CYYG,Charlottetown
GOA,LIMJ,Genoa Cristoforo Colombo (Sestri)
HTS,KHTS,Ferguson Field Arpt
KUM,RJFC,Yakushima
TAC,RPVA,Daniel Z. Romualdez (Tacloban)
HAD,ESMT,Halmstad
MES,WIMM,Polonia Int'l
DUG,KDUG,Bisbee Douglas Intl
MKZ,WMKM,Batu Berendam (Malacca)
FMM,EDJA,Allgau
XBD,LFEU,Bar
MPJ,KMPJ,Petit Jean Park
RPX,KRPX,Roundup
SYR,KSYR,Syracuse Hancock Intl
OBL,EBZR,Zoersel
GML,UKKM,Gostomel
ICN,RKSI,Incheon Int'l
PCL,SPCL,Capitan Rolden (Rengifo)
GNS,WIMB,Binaka
MQZ,SKUA,Marandúa AB
BYM,MUBY,Carlos Manuel de Cespedes
FSO,KFSO,Franklin County State
LWN,UDSG,Shirak
KAU,EFKA,Kauhava
XGT,LFCE,Gueret Saint
GLX,WAMA,Gamarmalamo
AAT,ZWAT,Altay
SLZ,SBSL,Marechal Cunha Machado Int'l
FKL,KFKL,Venango Rgnl
PLR,KPLR,St Clair County
OMO,LQMO,Mostar Int'l
ZJI,LSZL,Locarno
INJ,KINJ,Hillsboro Muni
RCS,EGTO,Rochester\, England
MRW,EKMB,Lolland
VKT,UUYW,Vorkuta
AAR,EKAH,Aarhus
HAC,RJTH,Hachijojima
ZIH,MMZH,Ixtapa-Zihuatanejo Int'l
CPX,TJCP,Benjamin Rivera Noriega
BSL,LFSB,Bale Mulhouse
KNZ,GAKA,Kenieba
SOQ,WASS,Sorong
XAC,LFCH,La Teste De Buch
ADB,LTBJ,İzmir Adnan Menderes Int'l
LMO,EGQS,RAF Lossiemouth
BKA,UUBB,Bykovo
PUY,LDPL,Pula
WNR,YWDH,Windorah
FXO,FQCB,Cuamba
CDO,FACD,Cradock
NSN,NZNS,Nelson
UMM,PAST,Summit
LDV,LFRJ,Landivisiau
LHE,OPLA,Allama Iqbal Int'l
HGN,VTCH,Mae Hong Son
JAN,KJAN,Jackson-Evers Intl
BXR,OIKM,Bam
UNE,FXQN,Qachas' Nek
PVG,KPVG,Hampton Roads Executive
IMT,KIMT,Ford
HAS,OEHL,Ha'il Regional
CZL,KCZL,Tom B. David Fld
LIW,VYLK,Loikaw
HTA,UIAA,Kadala
NPE,NZNR,Napier
TAD,KTAD,Perry Stokes
CXP,WIHL,Tunggul Wulung
BNX,LQBK,Banja Luka Int'l
BDG,KBDG,Blanding Muni
NKL,FZAR,Nkolo-Fuma
GMN,NZGM,Greymouth Aerodrome
ZST,CZST,Stewart (British Columbia)
JRF,PHJR,Kalaeloa Arpt
FEZ,GMFF,Saiss
REN,UWOO,Tsentralny
AAV,RPMA,Allah Valley
MXF,KMXF,Maxwell Afb
SLS,LBSS,Silistra Airfield (military)
MVR,FKKL,Salak
LBX,KLBX,Texas Gulf Coast Rgnl
GLI,YGLI,Glen Innes
KYK,PAKY,Karluk
ERB,YERN,Ernabella
SNF,SVSP,Sub Teniente Nestor Arias
IPI,SKIP,San Luis
OKH,KOKH,Aj Eisenberg
FFL,KFFL,Fairfield Muni
BAM,KBAM,Battle Mountain
CWC,UKLN,Chernivtsi
CPE,MMCP,Ing. Alberto Acuna Ongay Int'l
MDX,SATM,Mercedes
CKC,UKKE,Cherkasy
AQG,ZSAQ,Anqing
SMV,LSZS,Samedan (Engadin)
OGG,PHOG,Kahului
CSK,GOGS,Cap Skiring
LZN,RCFG,Matsu Nangan
IOR,EIIM,Inishmore Aerodrome (Kilronan)
SIP,UKFF,Simferopol Int'l
LPL,EGGP,Liverpool John Lennon
MSG,FXMA,Matsaile
USI,SYMB,Mabaruma
LXU,FLLK,Lukulu
LUA,KLUA,Luray Caverns
SOC,WARQ,Adisumarmo Int'l (Adi Sumarmo Wiryokusumo)
COX,MYAK,Congo Town
CDS,KCDS,Childress Muni
T11,PTYA,Yap Intl
CSV,KCSV,Crossville Memorial
MKH,FXMK,Mokhotlong
BOE,FCOB,Boundji
YEN,CYEN,Estevan
DRT,KDRT,Del Rio Intl
YGD,CYGD,Goderich (Goderich Municipal)
LAZ,SBLP,Bom Jesus da Lapa
MYZ,FWMY,Monkey Bay
SAO,SBMT,Campo de Marte
KDI,WAAU,Wolter Monginsidi
ONL,KONL,O'Neill Municipal 
VCS,VVCS,Co Ong
GJA,MHNJ,Guanaja
MAU,NTTP,Maupiti
CKF,KCKF,Crisp County-Cordele
VAG,SBVG,Major Brigadeiro Trompowsky
JWY,KJWY,Mid-Way Rgnl
UZC,LYUZ,Užice-Ponikve
JJN,ZSQZ,Quanzhou Jinjiang
GNB,KGNB,Granby-Grand County
ADP,VCCA,Anuradhapura
KTX,GAKO,Koutiala
ABE,KABE,Lehigh Valley Intl
ROY,SAWM,Rio Mayo
MFD,KMFD,Mansfield Lahm Rgnl
FGI,NSFI,Fagali'i
GUP,KGUP,Gallup Muni
GUA,MGGT,La Aurora Int'l
TXL,EDDT,Tegel Int'l
XKA,DFEL,Kantchari
HRM,DAFH,Hassi R'Mel
XFN,ZHXF,Xiangfan
PNB,SBPN,Porto Nacional
PBZ,FAPG,Plettenberg Bay
RLG,ETNL,Rostock Laage
ANY,KANY,Anthony Muni
CMH,KCMH,Port Columbus Intl
BRW,PABR,Wiley Post-Will Rogers
SCM,PACM,Scammon Bay
SCT,OYSQ,Moori
ACV,KACV,Arcata
LDB,SBLO,Londrina
YQX,CYQX,Gander Int'l
RDG,KRDG,Reading Rgnl
CEW,KCEW,Bob Sikes
OYL,HKMY,Moyale Lower
MDA,KMDA,Martindale Ahp
NGF,PHNG,Kaneohe Bay Mcas (Marion E. Carl Field)
XMF,LFSM,Montbeliard Courcelles
VLV,SVVL,Dr. Antonio Nicolas Briceno
RQO,KRQO,El Reno Rgnl
BSO,RPUO,Basco
MZM,LFSF,Metz Frescaty
YGE,CYGE,Golden
LGR,SCHR,Cochrane
BKN,KBKN,Blackwell-Tonkawa Muni
HYX,KHYX,Saginaw County
AUA,TNCA,Queen Beatrix Int'l
JGA,VAJM,Jamnagar / Jamnagar Air Force Base
YPA,CYPA,Prince Albert (Glass Field)
CVK,KCVK,Sharp County Rgnl
VIA,SSVI,Videira
IPJ,KIPJ,Lincolnton Co Rgnl
XSN,LFHZ,Sallanches Mont-Blanc
KOS,VDSV,Sihanoukville Int'l
SJS,SLJE,San Jose de Chiquitos
CXE,KCXE,Chase City Muni
MNI,KMNI,Santee Cooper Rgnl
KEE,FCOK,Kelle
BZD,YBRN,Balranald
DJG,DAAJ,Tiska
RBE,VDRK,Ratanankiri
GFZ,KGFZ,Greenfield Muni
YGL,CYGL,La Grande Riviere
CFS,YCFS,Coffs Harbour
YGW,CYGW,Kuujjuarapik
ATJ,FMME,Antsirabe
WKA,NZWF,Wanaka
PUN,FZOP,Punia
SYW,OPSN,Sehwan Sharif
BUX,FZKA,Bunia
BGZ,LPBR,Braga
CAK,KCAK,Akron-Canton Rgnl
IGE,FOOI,Tchongorove
KMI,RJFM,Miyazaki
UYN,ZLYL,Yulin
SBA,KSBA,Santa Barbara Muni
RCZ,KRCZ,Richmond County
CCF,LFMK,Carcassonne Salvaza
LCI,KLCI,Laconia Muni
NSI,FKYS,Yaounde Nsimalen Int'l
SNS,KSNS,Salinas Muni
MUB,FBMN,Maun
ETH,LLET,Eilat (J. Hozman)
LAU,HKLU,Manda
AIG,FEFY,Yalinga
CIJ,SLCO,Capitan Anibal Arab
YSY,CYSY,Sachs Harbour
CEM,PACE,Central
AK03,PAWT,Wainwright As
FRO,ENFL,Floro
PTH,PAPH,Port Heiden
SFK,SNSW,Soure
AWO,KAWO,Arlington Muni
SKI,DABP,Skikda
FRW,FBFT,Francistown
VPC,KVPC,Cartersville
Z09,PFKA,Kasigluk
WEL,FAWM,Welkom
UHE,LKKU,Kunovice
LOT,KLOT,Lewis University
AKD,VAAK,Akola
TVR,KTVR,Vicksburg Tallulah Rgnl
HPH,VVCI,Cat Bi
SXN,FBSN,Sua Pan
MNG,YMGD,Maningrida
IXN,VEKW,Khowai
CRG,KCRG,Jacksonville Executive At Craig
WNP,RPUN,Naga (Pili)
HZY,KHZY,Northeast Ohio Rgnl
AJY,DRZA,Mano Dayak Int'l
BGI,TBPB,Grantley Adams Int'l
BBG,NGTU,Butaritari Atoll
WVA,YWVA,Warnervale
SCS,EGPM,Scatsta
LWB,KLWB,Greenbrier Valley
MLU,KMLU,Monroe Rgnl
MWM,KMWM,Windom Muni
BUN,SKBU,Gerardo Tobar Lopez
AVX,KAVX,Catalina
DLE,LFGJ,Dole-Tavaux
OUZ,GQPZ,Tazadit
CLO,SKCL,Alfonso Bonilla Aragon Int'l
EGH,HEGR,El Gora
CTS,RJCC,New Chitose
PNA,LEPP,Pamplona
XMJ,LFBM,Mont-De-Marsan Ab
LGU,KLGU,Logan-Cache
AAU,NSAU,Asau
EIL,PAEI,Eielson Afb
JDN,KJDN,Jordan
LXA,ZULS,Lhasa Gonggar
JLR,VAJB,Jabalpur
PBR,MGPB,Puerto Barrios
GXQ,SCCY,Teniente Vidal
TMT,KTMT,Austin
PZI,ZUZH,Pan Zhi Hua Bao An Ying
MNU,VYMM,Mawlamyaing
CNB,KCNB,Myers Field
ECH,YECH,Echuca
FHR,KFHR,Friday Harbor
HFF,KHFF,Mackall Aaf
EOS,KEOS,Neosho Hugh Robinson
BAB,KBAB,Beale Afb
HFY,KHFY,Greenwood Muni
SDL,KSDL,Scottsdale
SMW,GMMA,Smara
PEL,FXPG,Pelaneng
KGF,UAKK,Karaganda
MTW,KMTW,Manitowoc County
TRO,YTRE,Taree
JVW,KJVW,John Bell Williams
SLY,USDD,Salekhard
MUD,FQMD,Mueda
YVE,CYVK,Vernon Regional
PAN,VTSK,Pattani
SVC,KSVC,Grant County
HYS,KHYS,Hays Rgnl
TNW,PAFL,Tin Creek
PAF,LPMT,Montijo Air Base
YTD,CZLQ,Thicket Portage
FLY,KFLY,Meadow Lake
KLS,KKLS,Southwest Washington Rgnl
CJU,RKPC,Jeju Int'l
OXI,KOXI,Starke County
SLR,KSLR,Sulphur Springs Muni
TVY,KTVY,Tooele Valley Arpt
TMG,WBKM,Tommanggong
JQA,BGUQ,Qaarsut
XIY,ZLXY,Xi'an Xianyang Int'l
BNR,DFOB,Banfora
WAR,WAJR,Waris
XKS,CYAQ,Kasabonika
AXR,NTGU,Arutua
TTD,KTTD,Portland-Troutdale
PUZ,MNPC,Puerto Cabezas
SUF,LICA,Lamezia Terme Int'l
SAZ,GLST,Sasstown
MMZ,OAMN,Maymana
STF,KSTF,George M Bryan
AKV,CYKO,Akulivik
WDR,KWDR,Barrow County
SGJ,KSGJ,Northeast Florida Rgnl
HYG,PAHY,Hydaburg
AQH,PAQH,Quinhagak
RBO,SLRB,Robore
CWC,KCWC,Kickapoo Downtown
EZS,KEZS,Shawano Muni
WPR,SCFM,Capitan Fuentes Martinez
PVG,ZSPD,Shanghai Pudong Int'l
BIU,BIBD,Bildudalur
MLO,LGML,Milos Island National
IOA,LGIO,Ioannina National
BVS,KBVS,Skagit Rgnl
NDE,HKMA,Mandera
CSL,KCSL,O'Sullivan Ahp
LEM,KLEM,Lemmon Muni
FKB,EDSB,Baden Airpark
IHN,OYQN,Qishn
PBV,PAPB,St George
PIL,KPIL,Cameron Co Arpt
OPA,BIKP,Kopasker
HGA,HCMH,Egal Int'l
AGS,KAGS,Augusta Regional
NRQ,KNRQ,Spencer Nolf
BBP,KBBP,Marlboro County
TNF,LFPN,Toussus
BSK,DAUB,Biskra
FSK,KFSK,Fort Scott Muni
PEH,SAZP,Comodoro P. Zanni
GII,GUSI,Siguiri
HFN,BIHN,Hornafjordur
GWE,FVTL,Thornhill
MSU,FXMM,Moshoeshoe Int'l
LAR,KLAR,Laramie Rgnl
GAQ,GAGO,Gao Int'l (Korogoussou)
LKB,NFNK,Lakemba
EBU,LFMH,Saint
CNC,YCCT,Coconut Island
IWS,KIWS,West Houston
MFR,KMFR,Rogue Valley Intl
MKY,YBMK,Mackay
INS,KINS,Creech Afb
LEC,SNDM,Chapada Daimantina
WUD,YWUD,Wudinna
CFB,SBCB,Cabo Frio Int'l
DAF,KDAF,Necedah
IZA,KIZA,Santa Ynez
HOM,PAHO,Homer
LKP,KLKP,Lake Placid
VCR,SVCO,Carora
ASW,HESN,Daraw
CRR,SANW,Ceres
MTO,KMTO,Coles County Memorial
CFG,MUCF,Jaime Gonzalez
TMT,SBTB,Trombetas
LMS,KLMS,Louisville Winston County
LEA,YPLM,RAAF Learmonth
ESU,GMMI,Mogador
KWI,OKBK,Kuwait Int'l
GLR,KGLR,Gaylord Rgnl
ALO,KALO,Waterloo Rgnl
EUA,NFTE,Eua
BQW,YBGO,Balgo Hill
IBM,KIBM,Kimball Municipal
MMI,KMMI,Mcminn County
IXZ,VOPB,Vir Savarkar (Port Blair)
VTB,UMII,Vostochny
KCT,VCCK,Koggala
GUT,ETUO,Gutersloh
FTU,FMSD,Tolanaro
YZW,CYZW,Teslin
ORW,OPOR,Ormara
UGN,KUGN,Waukegan Rgnl
GCK,KGCK,Garden City Rgnl
AAC,HEAR,El Arish Int'l
RBJ,RJCR,Rebun
LPM,NVSL,Malekoula Island
LTI,ZMAT,Altai
PLM,WIPP,Sultan Mahmud Badaruddin II
NPO,WIOG,Nanga Pinoh
FHB,KFHB,Fernandina Beach Muni
YHU,CYHU,Montreal/Saint-Hubert
ISA,YBMA,Mount Isa
HLM,KHLM,Park Township
SOK,FXSM,Semongkong
LUR,PALU,Cape Lisburne Lrrs
PTT,KPTT,Pratt Rgnl
NDM,HAMN,Mendi
AOC,EDAC,Leipzig-Altenburg
FPR,KFPR,St Lucie County Intl
ITH,KITH,Ithaca Tompkins Rgnl
LIM,SPIM,Jorge Chavez Int'l
JOS,DNJO,Jos
ULS,KULS,Ulysses
WTS,FMMX,Tsiroanomandidy
HAQ,VRMH,Hanimaadhoo
HES,KHES,Healdsburg Muni
TOD,WMBT,Tioman
GDO,SVGD,Guasdualito
LTG,VNLT,Langtang
KSJ,LGKS,Kassos Island Public
MYD,HKML,Malindi
RSW,KRSW,Southwest Florida Intl
PRH,VTCP,Phrae
AKX,UATT,Aktyubinsk
IRA,AGGK,Kirakira
GCJ,FAGC,Grand Central
MNV,KMNV,Monroe County
LBE,KLBE,Arnold Palmer Rgnl
ALG,DAAG,Houari Boumedienne
NAA,YNBR,Narrabri
CEO,FNWK,Waco Kungo
UTT,FAUT,K. D. Matanzima
COS,KCOS,Colorado Sprgs Muni
MEQ,WITC,Cut Nyak Dien
NPA,KNPA,Sherman Field Arpt
YDB,CYDB,Burwash
YKL,CYKL,Schefferville
RUE,KRUE,Russellville Rgnl
YHM,CYHM,Hamilton/John C. Munro Int'l
AAT,KAAT,Alturas Muni
LRD,KLRD,Laredo Intl
TTB,LIET,Tortoli
SDS,RJSD,Sado
BFU,ZSBB,Bengbu
LGP,RPLP,Legazpi
QUS,DNGU,Gusau Airstrip
ZER,KZER,Schuylkill County
MOG,VYMS,Monghsat
SAP,MHLM,Ramon Villeda Morales Int'l
KEF,BIKF,Keflavik Int'l
ULM,KULM,New Ulm Muni
TAN,YTGA,Tangalooma
MNM,KMNM,Menominee County
UTP,VTBU,U-Tapao Int'l
GRI,KGRI,Central Nebraska Rgnl
JER,EGJJ,Jersey & Aviation Beauport
KGO,UKKG,Kirovohrad
BAE,LFMR,Barcelonnette Saint-Pons
TDA,SKTD,Trinidad
TNN,RCNN,Tainan
HBZ,KHBZ,Heber Springs Muni
TCB,MYAT,Treasure Cay
PZA,SKPZ,Paz de Ariporo
AII,HDAS,Ali-Sabieh
LZR,YLZI,Lizard Island
HZB,LFQT,Merville Calonne
FYE,KFYE,Fayette County
CSL,MMSL,Cabo San Lucas Int'l
XST,LFXB,Saintes Thenac
CBB,SLCB,Jorge Wilstermann Int'l
NTL,YWLM,Newcastle-Williamtown Airport / RAAF
BXB,WASO,Babo
NMC,MYEN,Norman's Cay
SAY,LIQS,Siena
EDM,LFRI,Les Ajoncs
BHH,OEBH,Bisha Domestic
HRG,HEGN,Hurghada
DGE,YMDG,Mudgee
SJU,TJSJ,Luis Munoz Marin Intl
REO,KREO,Rome State
PYJ,UERP,Polyarny
CRA,LRCV,Craiova
TLB,OPTA,Tarbela Dam
IGG,PAIG,Igiugig
FDK,KFDK,Frederick Muni
HMA,USHH,Khanty-Mansiysk
GBZ,NZGB,Great Barrier Aerodrome
LDX,SOOM,Saint
WET,WABG,Wagethe
AKT,LCRA,RAF Akrotiri
BEQ,EGXH,RAF Honington
STU,SBSC,Santa Cruz
ACL,SKAG,Hacaritama
ODJ,FEGO,Ouanda Djalle
XLE,LFQL,Lens Benifontaine
FCB,FAFB,Ficksburg
HAM,EDDH,Hamburg
TWF,KTWF,Magic Valley Rgnl
SNV,SVSE,Santa Elena de Uairen
CCB,KCCB,Cable
DJJ,WAJJ,Sentani
KMP,FYKT,Keetmanshoop
SLH,KSLH,Cheboygan County
APH,KAPH,A P Hill Aaf 
FBR,KFBR,Fort Bridger
PGI,FNCH,Dundo
PVK,LGPZ,Aktion National (Lefkada)
PHY,VTPB,Phetchabun
IMF,VEIM,Imphal (Tulihal)
WIC,EGPC,Wick
BBT,FEFT,Berberati
BUW,WAAB,Betoambari
TBJ,DTKA,Tabarka-7 Novembre Int'l
PKP,NTGP,Puka-Puka
STW,URMT,Shpakovskoye
BSD,ZPBS,Baoshan
PPP,YBPN,Proserpine / Whitsunday Coast
VDZ,PAVD,Valdez Pioneer Field
CRO,KCRO,Corcoran
WDG,KWDG,Enid Woodring Rgnl
DHN,KDHN,Dothan Rgnl
JSR,VGJR,Jessore
RBA,GMME,Sale
USM,VTSM,Samui
YXP,CYXP,Pangnirtung
LZC,MMLC,Lazaro Cardenas
DLS,KDLS,Columbia Gorge Rgnl
NPL,NZNP,New Plymouth
PEA,KPEA,Pella Muni
CST,NFCS,Castaway Island
GHB,MYEM,Governor's Harbour
NUS,NVSP,Norsup
AMW,KAMW,Ames Muni
ODS,UKOO,Odessa Int'l
BRS,EGGD,Bristol Int'l
DPS,WADD,Ngurah Rai Int'l
BIQ,LFBZ,Biarritz
NEL,KNEL,Lakehurst Arpt
YCG,CYCG,Castlegar
RMN,KRMN,Stafford Rgnl
VGC,KVGC,Hamilton Muni
MQS,TVSM,Mustique
UNI,KUNI,Ohio Univ Arpt
IST,LTBA,Istanbul Ataturk Int'l
ADA,LTAF,Adana Şakirpaşa
KOF,FAKP,Komatipoort
URA,UARR,Uralsk
CRC,SKGO,Santa Ana
SSR,NVSH,Sara
EKA,KEKA,Murray Field
BQN,TJBQ,Rafael Hernandez
YBU,CYBU,Nipawin
AMA,KAMA,Amarillo Intl
MGH,FAMG,Margate
REA,NTGE,Reao Island
IXW,VEJS,Sonari
EET,KEET,Shelby County
MLN,GEML,Melilla
AZO,KAZO,Kalamazoo/Battle Creek Intl
BLU,KBLU,Blue Canyon - Nyack
PIX,LPPI,Pico
GSZ,PAGZ,Granite Mountain As
NRB,KNRB,Mayport Arpt
AGV,SVAC,Oswaldo Guevara Mujica
BMA,ESSB,Stockholm-Bromma
SET,KSET,St Charles County Smartt
MZZ,KMZZ,Marion Muni
SSY,FNBC,Mbanza Congo
IXB,VEBD,Bagdogra
RBW,KRBW,Lowcountry Rgnl
PHR,NFND,Pacific Harbour / Deumba SPB
BIV,FEFR,Bria
QOW,DNIM,Sam Mbakwe Int'l Cargo
YBT,CYBT,Brochet
BNU,SSBL,Blumenau
IXG,VABM,Belgaum
ROS,SAAR,Rosario-Islas Malvinas Int'l
HUI,VVPB,Phu Bai
BYK,DIBK,Bouake
TKV,NTGO,Tatakoto
SFA,DTTX,Thyna/El Maou
BJA,DAAE,Soummam
SML,MYLS,Stella Maris
LRT,LFRH,Lorient South Brittany
YLI,EFYL,Ylivieska
MHR,KMHR,Sacramento Mather
MGD,SLMG,Magdalena
MCK,KMCK,Mc Cook Ben Nelson Rgnl
DLC,KDLC,Dillon County
TES,HHTS,Teseney
GWY,EICM,Galway
IXP,VIPK,Pathankot
QZE,LFNQ,Mont-Louis La Quillane
KHM,VYKI,Khamti
YCD,CYCD,Nanaimo
APC,KAPC,Napa County
MCP,SBMQ,Macapa Int'l
ACY,KACY,Atlantic City Intl
NOS,FMNN,Fascene
DIK,KDIK,Roosevelt Rgnl
SGT,KSGT,Stuttgart Muni
YME,CYME,Matane
GOJ,UWGG,Strigino
ASL,KASL,Harrison County
ROV,URRR,Rostov
YFO,CYFO,Flin Flon
XSW,LFSJ,Sedan Douzy
BEI,HABE,Beica
SNU,MUSC,Abel Santa Maria
CRM,RPVF,Catarman National
DLO,KDLO,Delano Muni
SOS,RPNS,Sayak (Siargao)
MAD,LEMD,Barajas Int'l
KIJ,RJSN,Niigata
CPF,KCPF,Wendell H Ford
SUQ,SESC,Sucua
VIR,FAVG,Virginia
PJG,OPPG,Panjgur
SYC,SPSY,Shiringayoc
GDW,KGDW,Gladwin Zettel Memorial
ARA,KARA,Acadiana Rgnl
SWI,KSWI,Sherman Muni
KEC,FZQG,Kasenga
NBC,UWKE,Begishevo
LPX,EVLA,Liepāja Int'l
NEK,HANK,Nekemte
HTO,KHTO,East Hampton
BFJ,NFFA,Ba
PAM,KPAM,Tyndall Afb
ANU,TAPA,VC Bird Int'l
SMR,SKSM,Simon Bolivar
RNU,WBKR,Ranau
NQI,KNQI,Kingsville Nas
DCM,LFCK,Castres-Mazamet
ZEF,KZEF,Elkin Muni
TAY,EETU,Tartu
CNB,YCNM,Coonamble
COQ,KCOQ,Cloquet Carlton County
CIA,LIRA,Ciampino (Giovan Battista Pastine)
TGC,KTGC,Gibson County
FSP,LFVP,Saint Pierre
ZND,DRZR,Zinder
OLE,KOLE,Cattaraugus County-Olean
PRS,AGGP,Marau Sound
TKP,NTGT,Takapoto
RRQ,KRRQ,Rock Rapids Muni
DEC,KDEC,Decatur
GHC,MYBG,Great Harbour Cay
YRJ,CYRJ,Roberval
CDJ,SBAA,Conceicao do Araguaia
PMY,SAVY,El Tehuelche
GIS,NZGS,Gisborne
GLD,KGLD,Goodland Municipal
VRU,FAVB,Vryburg
CMC,SNWC,Camocim
TLD,FBTL,Tuli Lodge
BQB,YBLN,Busselton Regional
BSR,ORMM,Basrah Int'l
UCZ,SPIZ,Uchiza
CZM,MMCZ,Cozumel Int'l
AKN,PAKN,King Salmon
MKS,KMKS,Berkeley County
MEV,KMEV,Minden-Tahoe
BVO,KBVO,Bartlesville Muni
HKK,NZHK,Hokitika Aerodrome
ARR,KARR,Aurora Muni
PNE,KPNE,Northeast Philadelphia
HUE,HAHU,Humera
YUD,CYMU,Umiujaq
TTJ,RJOR,Tottori
AYX,KAYX,Arnold Afb
MEW,FZVM,Mweka
VHM,ESNV,Vilhelmina
XVS,LFAV,Valenciennes-Denain
PAX,MTPX,Port De Paix
OTM,KOTM,Ottumwa Rgnl
KTN,PAKT,Ketchikan Intl
XDA,LFBY,Dax-Seyresse
COT,KCOT,Cotulla-La Salle County
BAS,AGGE,Balalae
EIS,TUPJ,Terrance B. Lettsome Int'l
VAI,AYVN,Vanimo
CAS,GMMC,Anfa
FAM,KFAM,Farmington Rgnl
GVT,KGVT,Majors
OMH,OITR,Urmia
CLY,LFKC,Calvi Sainte-Catherine
VBV,NFVB,Vanuabalavu
ANN,PANT,Annette Island
NGP,KNGP,Corpus Christi Intl
ISG,ROIG,Ishigaki
GPT,KGPT,Gulfport-Biloxi Intl
YLW,CYLW,Kelowna Int'l
